"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"experience_months","non-eeax0vsnon-eeax1",54.7015743101212,60.407430129516,-5.70585581939482,44718,14670,-7.24980090155221
"formation","non-eeax0vsnon-eeax1",4.62368859471385,3.763346668506,0.860341926207854,44418,14498,29.9520032525866
"male","non-eeax0vsnon-eeax1",0.536279017606818,0.611565223265554,-0.0752862056587359,44585,14803,-16.1890489697367
"part_time","non-eeax0vsnon-eeax1",0.281958924336659,0.307665911742502,-0.0257069874058429,44698,14571,-5.8745717491984
"monthly_wage","eeax0vseeax1",1435.06378701175,1571.50723013205,-136.443443120294,39771,10533,-12.9046113572273
"monthly_wage","eeax0vsfrenchx0",1435.06378701175,1423.39867916295,11.6651078488003,39771,5710347,2.14846140091054
"monthly_wage","eeax0vsfrenchx1",1435.06378701175,1456.51129615201,-21.4475091402555,39771,1122650,-3.89492133801491
"monthly_wage","eeax0vsnon-eeax0",1435.06378701175,1325.75372707205,109.310059939703,39771,61690,10.1071437465263
"monthly_wage","eeax0vsnon-eeax1",1435.06378701175,1537.47405206847,-102.410265056717,39771,27058,-6.09658404938068
"monthly_wage","eeax1vsfrenchx0",1571.50723013205,1423.39867916295,148.108550969095,10533,5710347,16.2347653050376
"monthly_wage","eeax1vsfrenchx1",1571.50723013205,1456.51129615201,114.995933980039,10533,1122650,12.5418599644496
"monthly_wage","eeax1vsnon-eeax0",1571.50723013205,1325.75372707205,245.753503059997,10533,61690,18.8089142202605
"monthly_wage","eeax1vsnon-eeax1",1571.50723013205,1537.47405206847,34.033178063577,10533,27058,1.85688296517133
"monthly_wage","frenchx0vsfrenchx1",1423.39867916295,1456.51129615201,-33.1126169890558,5710347,1122650,-24.9848779377557
"monthly_wage","frenchx0vsnon-eeax0",1423.39867916295,1325.75372707205,97.6449520909025,5710347,61690,10.385319400611
"monthly_wage","frenchx0vsnon-eeax1",1423.39867916295,1537.47405206847,-114.075372905518,5710347,27058,-7.16327639020849
"monthly_wage","frenchx1vsnon-eeax0",1456.51129615201,1325.75372707205,130.757569079958,1122650,61690,13.8413304588842
"monthly_wage","frenchx1vsnon-eeax1",1456.51129615201,1537.47405206847,-80.9627559164619,1122650,27058,-5.07557363130092
"monthly_wage","non-eeax0vsnon-eeax1",1325.75372707205,1537.47405206847,-211.72032499642,61690,27058,-11.4637209836236
