"variable","comparison","mean_a","mean_b","diff","n_a","n_b","t_stat"
"age","frenchx0vsnon-eeax0",32.0322414820466,37.2860973136483,-5.25385583160171,4962489,58183,-117.540265802599
"diploma","frenchx0vsnon-eeax0",0.649918170568009,0.397491267615328,0.252426902952681,4961540,58117,123.661628608097
"experience_months","frenchx0vsnon-eeax0",48.0117820202304,56.3769975745274,-8.36521555429698,4961543,58133,-24.6828123802756
"formation","frenchx0vsnon-eeax0",6.1062351171161,4.43494855913531,1.6712865579808,4899924,57639,128.395512557626
"male","frenchx0vsnon-eeax0",0.497577724253998,0.557900712147796,-0.0603229878937981,4961450,58134,-29.1133523358983
"part_time","frenchx0vsnon-eeax0",0.220644172292816,0.292156693930263,-0.0715125216374469,4956469,58075,-37.7130007644989
"age","frenchx0vsnon-eeax1",32.0322414820466,42.0066390041494,-9.97439752210277,4962489,1205,-32.2642377015555
"diploma","frenchx0vsnon-eeax1",0.649918170568009,0.265145554681353,0.384772615886656,4961540,1271,31.0597733439328
"experience_months","frenchx0vsnon-eeax1",48.0117820202304,43.791235059761,4.22054696046944,4961543,1255,2.3645819426928
"formation","frenchx0vsnon-eeax1",6.1062351171161,3.37509788566954,2.73113723144656,4899924,1277,30.637329653106
"male","frenchx0vsnon-eeax1",0.497577724253998,0.422647527910686,0.0749301963433125,4961450,1254,5.36866800937971
"part_time","frenchx0vsnon-eeax1",0.220644172292816,0.131795716639209,0.0888484556536065,4956469,1214,9.14616064330728
"age","frenchx1vsnon-eeax0",32.6802057279741,37.2860973136483,-4.60589158567425,56774,58183,-67.3380524498207
"diploma","frenchx1vsnon-eeax0",0.602983212930721,0.397491267615328,0.205491945315393,57723,58117,71.4638993574528
"experience_months","frenchx1vsnon-eeax0",46.186191961192,56.3769975745274,-10.1908056133354,57720,58133,-22.1458229706826
"formation","frenchx1vsnon-eeax0",5.445987952442,4.43494855913531,1.01103939330669,56941,57639,64.7383947469579
"male","frenchx1vsnon-eeax0",0.612197948558283,0.557900712147796,0.0542972364104862,57813,58134,18.7909760848194
"part_time","frenchx1vsnon-eeax0",0.180050718512257,0.292156693930263,-0.112105975418006,56784,58075,-45.1653569608269
"age","frenchx1vsnon-eeax1",32.6802057279741,42.0066390041494,-9.32643327617531,56774,1205,-29.753888692767
"diploma","frenchx1vsnon-eeax1",0.602983212930721,0.265145554681353,0.337837658249368,57723,1271,26.9137941989811
"experience_months","frenchx1vsnon-eeax1",46.186191961192,43.791235059761,2.394956901431,57720,1255,1.3218355103327
"formation","frenchx1vsnon-eeax1",5.445987952442,3.37509788566954,2.07089006677246,56941,1277,23.122729064611
"male","frenchx1vsnon-eeax1",0.612197948558283,0.422647527910686,0.189550420647597,57813,1254,13.4418555478252
"part_time","frenchx1vsnon-eeax1",0.180050718512257,0.131795716639209,0.0482550018730478,56784,1214,4.90125432711638
"age","non-eeax0vsnon-eeax1",37.2860973136483,42.0066390041494,-4.72054169050106,58183,1205,-15.1164499610478
"diploma","non-eeax0vsnon-eeax1",0.397491267615328,0.265145554681353,0.132345712933974,58117,1271,10.544189122988
"experience_months","non-eeax0vsnon-eeax1",56.3769975745274,43.791235059761,12.5857625147664,58133,1255,6.92989658887795
"formation","non-eeax0vsnon-eeax1",4.43494855913531,3.37509788566954,1.05985067346577,57639,1277,11.7656658720861
"male","non-eeax0vsnon-eeax1",0.557900712147796,0.422647527910686,0.135253184237111,58134,1254,9.58811625292303
"part_time","non-eeax0vsnon-eeax1",0.292156693930263,0.131795716639209,0.160360977291053,58075,1214,16.2076952384848
"monthly_wage","eeax0vseeax1",1467.94522471306,1426.41563334021,41.5295913728519,45081,5223,4.35479634466898
"monthly_wage","eeax0vsfrenchx0",1467.94522471306,1430.66036596834,37.2848587447174,45081,6743812,7.2192027095898
"monthly_wage","eeax0vsfrenchx1",1467.94522471306,1291.11666810708,176.828556605979,45081,89185,31.2574980672315
"monthly_wage","eeax0vsnon-eeax0",1467.94522471306,1391.08193370464,76.8632910084227,45081,86914,7.87938625441586
"monthly_wage","eeax0vsnon-eeax1",1467.94522471306,1353.44882112259,114.496403590471,45081,1834,7.14318583836565
"monthly_wage","eeax1vsfrenchx0",1426.41563334021,1430.66036596834,-4.24473262813444,5223,6743812,-0.526507523545546
"monthly_wage","eeax1vsfrenchx1",1426.41563334021,1291.11666810708,135.298965233127,5223,89185,16.1337657248871
"monthly_wage","eeax1vsnon-eeax0",1426.41563334021,1391.08193370464,35.3336996355708,5223,86914,3.05827728822238
"monthly_wage","eeax1vsnon-eeax1",1426.41563334021,1353.44882112259,72.966812217619,5223,1834,4.24653663585968
"monthly_wage","frenchx0vsfrenchx1",1430.66036596834,1291.11666810708,139.543697861261,6743812,89185,56.7092219890403
"monthly_wage","frenchx0vsnon-eeax0",1430.66036596834,1391.08193370464,39.5784322637053,6743812,86914,4.75740492648389
"monthly_wage","frenchx0vsnon-eeax1",1430.66036596834,1353.44882112259,77.2115448457535,6743812,1834,5.08044713967845
"monthly_wage","frenchx1vsnon-eeax0",1291.11666810708,1391.08193370464,-99.9652655975558,89185,86914,-11.5784940735422
"monthly_wage","frenchx1vsnon-eeax1",1291.11666810708,1353.44882112259,-62.3321530155076,89185,1834,-4.05488226741461
"monthly_wage","non-eeax0vsnon-eeax1",1391.08193370464,1353.44882112259,37.6331125820482,86914,1834,2.17471233098125
